model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-04-18,"BCM,CSV,DPR,HAG,AVG",5,0.012263238377771612,0.012005240512442845,0.41153573989868164,0.004,0.008263238377771612,0.7595669797328062,0.19988552981997332,-0.23608940593305172,2026-06-08 20:08:44
model3,2025-04-21,"BCM,NVL,CTR,DPR,VCG",5,0.013600749096441222,0.021444185758475395,0.3961435854434967,0.004,0.009600749096441222,0.7834984087425347,0.21140532973622528,-0.21970796525101288,2026-06-08 20:08:44
model3,2025-04-22,"AVG,VDS,BCM,CTR,SHS",5,0.07893488862509197,0.036125524562317525,0.4046455919742584,0.004,0.07493488862509197,0.9242786569996555,0.30218185319985214,-0.19151950618390756,2026-06-08 20:08:44
model3,2025-04-23,"BAF,CSV,VRE,CTR,BCM",5,0.05916895050087909,0.03952995260801544,0.42953547835350037,0.004,0.055168950500879096,1.038136205605566,0.3740218594021776,-0.15956031057885245,2026-06-08 20:08:44
model3,2025-04-24,"VHC,BCM,CSM,NVL,HAG",5,0.06406013475596586,0.027630351972402618,0.4202110171318054,0.004,0.06006013475596586,1.1686994855876716,0.45654579743551515,-0.13633866614856938,2026-06-08 20:08:44
model3,2025-04-25,"GEE,APG,TPB,FCN,SHS",5,0.003619201625358848,0.030612209493831494,0.4170127809047699,0.004,-0.0003807983746411522,1.1765484462908256,0.4559911471632614,-0.10990008446498745,2026-06-08 20:08:44
model3,2025-04-28,"DRI,HAG,TPB,SHS,NVL",5,0.04308977281236863,0.03389320603673732,0.4255371689796448,0.004,0.039089772812368626,1.2703354243566114,0.5129055103226934,-0.07973174463447674,2026-06-08 20:08:44
model3,2025-04-29,"DRI,HDG,DBC,TPB,DCL",5,0.043384986419230345,0.030398312832984463,0.4314328134059906,0.004,0.03938498641923034,1.3688338959094208,0.5724912733003316,-0.05175714231761064,2026-06-08 20:08:44
model3,2025-05-05,"DRI,HDG,CSV,CSM,ANV",5,0.03817004296277719,0.02419196564318188,0.4388364851474762,0.004,0.03417004296277719,1.4592523874879664,0.6262233676675961,-0.028817283683165607,2026-06-08 20:08:44
model3,2025-05-06,"NVL,DRI,DGW,HDG,TPB",5,0.028519372402199438,0.025692888828870854,0.44333142042160034,0.004,0.024519372402199438,1.529388722157734,0.6660973440285969,-0.0038647941203164837,2026-06-08 20:08:44
model3,2025-05-07,"NLG,CSM,DRI,PVT,DBC",5,0.045174754189357146,0.024492416759611224,0.4244818091392517,0.004,0.04117475418935715,1.6436532359305422,0.7346984926245153,0.020532964491009942,2026-06-08 20:08:44
model3,2025-05-08,"SHS,IJC,VOS,PVT,BVS",5,0.0167950836981829,0.015614434394885841,0.3976200222969055,0.004,0.0127950836981829,1.688053613296968,0.7568941050287576,0.0364680095128731,2026-06-08 20:08:44
model3,2025-05-09,"HAG,VOS,DBC,CSM,TDC",5,0.010508809363713078,0.010985018276360314,0.38887977600097656,0.004,0.006508809363713078,1.716301856278546,0.7683293938306213,0.047853629540234754,2026-06-08 20:08:44
