model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2025-08-13,RYG,HOLD,HOLD,0.14957432,0.7111167,0.13930903,3,3,12.0,142900.0,BUY,0.04166666666666674,-0.010265291,0.7111167,-0.010265291,2026-06-08 20:08:43
model3,2025-08-14,RYG,HOLD,HOLD,0.10439862,0.73673385,0.15886752,3,3,12.0,137000.0,BUY,0.04166666666666674,0.0544689,0.73673385,0.0544689,2026-06-08 20:08:43
model3,2025-08-15,RYG,HOLD,HOLD,0.109261736,0.7474423,0.14329599,3,3,12.0,74500.0,BUY,0.04166666666666674,0.034034252,0.7474423,0.034034252,2026-06-08 20:08:43
model3,2025-08-18,RYG,HOLD,HOLD,0.10893429,0.7459619,0.14510377,3,3,12.0,96100.0,HOLD,0.016666666666666607,0.036169477,0.7459619,0.036169477,2026-06-08 20:08:43
model3,2025-08-19,RYG,HOLD,HOLD,0.2805738,0.46907333,0.25035292,3,3,12.5,374800.0,HOLD,-0.015999999999999903,-0.030220866,0.46907333,-0.030220866,2026-06-08 20:08:43
model3,2025-08-20,RYG,HOLD,HOLD,0.27661663,0.5184763,0.20490707,3,3,12.5,78300.0,HOLD,-0.0040000000000000036,-0.07170956,0.5184763,-0.07170956,2026-06-08 20:08:43
model3,2025-08-21,RYG,HOLD,HOLD,0.23306692,0.5372407,0.22969237,3,3,12.5,128200.0,BUY,0.06400000000000006,-0.0033745468,0.5372407,-0.0033745468,2026-06-08 20:08:43
model3,2025-08-22,RYG,HOLD,HOLD,0.23927756,0.56588197,0.19484046,3,3,12.5,44800.0,BUY,0.1359999999999999,-0.044437096,0.56588197,-0.044437096,2026-06-08 20:08:43
model3,2025-08-25,RYG,HOLD,HOLD,0.14290611,0.6560703,0.20102362,3,3,12.2,76400.0,BUY,0.10655737704918034,0.05811751,0.6560703,0.05811751,2026-06-08 20:08:43
model3,2025-08-26,RYG,HOLD,HOLD,0.1410371,0.6252872,0.23367572,3,3,12.3,91000.0,BUY,0.07317073170731692,0.09263861,0.6252872,0.09263861,2026-06-08 20:08:43
model3,2025-08-27,RYG,HOLD,HOLD,0.17416334,0.5676563,0.25818035,3,3,12.45,127600.0,BUY,0.052208835341365445,0.08401701,0.5676563,0.08401701,2026-06-08 20:08:43
model3,2025-08-28,RYG,BUY,HOLD,0.2876699,0.34847802,0.36385208,3,3,13.3,921000.0,HOLD,-0.007518796992481258,0.07618219,0.36385208,0.07618219,2026-06-08 20:08:43
model3,2025-08-29,RYG,BUY,HOLD,0.31751093,0.29022664,0.3922624,3,3,14.2,1152000.0,SELL,-0.035211267605633756,0.07475147,0.3922624,0.07475147,2026-06-08 20:08:43
model3,2025-09-03,RYG,SELL,HOLD,0.43399748,0.28197226,0.28403026,3,3,13.5,2824600.0,BUY,0.059259259259259345,-0.14996722,0.43399748,-0.14996722,2026-06-08 20:08:43
model3,2025-09-04,RYG,SELL,HOLD,0.45499843,0.3141861,0.23081549,3,3,13.2,263000.0,BUY,0.037878787878787845,-0.22418295,0.45499843,-0.22418295,2026-06-08 20:08:43
model3,2025-09-05,RYG,SELL,HOLD,0.35719648,0.3543625,0.28844103,3,3,13.1,1163200.0,HOLD,-0.007633587786259555,-0.06875545,0.35719648,-0.06875545,2026-06-08 20:08:43
model3,2025-09-08,RYG,SELL,HOLD,0.365622,0.35702327,0.27735475,3,3,13.2,87600.0,SELL,-0.045454545454545414,-0.08826727,0.365622,-0.08826727,2026-06-08 20:08:43
model3,2025-09-09,RYG,BUY,HOLD,0.33954838,0.31126133,0.3491903,3,3,13.7,634900.0,SELL,-0.08759124087591241,0.009641916,0.3491903,0.009641916,2026-06-08 20:08:43
model3,2025-09-10,RYG,BUY,HOLD,0.32408598,0.30881912,0.36709487,3,3,14.3,1091700.0,SELL,-0.13636363636363646,0.043008894,0.36709487,0.043008894,2026-06-08 20:08:43
model3,2025-09-11,RYG,SELL,HOLD,0.42576745,0.2791205,0.2951121,3,3,13.7,729500.0,SELL,-0.08759124087591241,-0.13065535,0.42576745,-0.13065535,2026-06-08 20:08:43
model3,2025-09-12,RYG,SELL,HOLD,0.35409033,0.32916397,0.31674573,3,3,13.0,1087800.0,SELL,-0.03076923076923077,-0.037344605,0.35409033,-0.037344605,2026-06-08 20:08:43
model3,2025-09-15,RYG,SELL,HOLD,0.39240792,0.31507188,0.2925202,3,3,12.6,132900.0,HOLD,-0.019841269841269882,-0.09988773,0.39240792,-0.09988773,2026-06-08 20:08:43
model3,2025-09-16,RYG,SELL,HOLD,0.35473338,0.32893163,0.316335,3,3,12.5,312400.0,HOLD,-0.008000000000000007,-0.038398385,0.35473338,-0.038398385,2026-06-08 20:08:43
model3,2025-09-17,RYG,HOLD,HOLD,0.2993244,0.44186336,0.25881225,3,3,12.35,52400.0,HOLD,0.004048582995951566,-0.040512145,0.44186336,-0.040512145,2026-06-08 20:08:43
model3,2025-09-18,RYG,HOLD,HOLD,0.30353266,0.39864907,0.29781833,3,3,12.5,81700.0,HOLD,-0.01200000000000001,-0.005714327,0.39864907,-0.005714327,2026-06-08 20:08:43
